1754622004523|28|statement|connection 0|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'suno')
1754622004581|1|statement|connection 1|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'luma')
1754622004637|12|statement|connection 2|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'chat' AND config_name LIKE '%apiHost%')
1754622004644|1|statement|connection 3|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'chat' AND config_name LIKE '%apiKey%')
1754622006236|0|statement|connection 4|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'midjourney')
1754622007863|1|statement|connection 5|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%host%')
1754622007866|0|statement|connection 6|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%port%')
1754622007870|1|statement|connection 7|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%from%')
1754622007873|0|statement|connection 8|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%user%')
1754622007877|1|statement|connection 9|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%pass%')
1754622007880|1|statement|connection 10|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%port%')
1754622010091|7|statement|connection 11|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,tenant_id,create_dept,create_by,create_time,update_by,update_time  FROM sys_oss_config           ORDER BY tenant_id ASC|SELECT  oss_config_id,config_key,access_key,secret_key,bucket_name,prefix,endpoint,domain,is_https,region,status,ext1,remark,access_policy,tenant_id,create_dept,create_by,create_time,update_by,update_time  FROM sys_oss_config           ORDER BY tenant_id ASC
1754622026317|3|statement|connection 12|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,tenant_id,contact_user_name,contact_phone,company_name,license_number,address,domain,intro,remark,package_id,expire_time,account_count,status,del_flag,create_dept,create_by,create_time,update_by,update_time  FROM sys_tenant  WHERE del_flag='0'       ORDER BY id ASC|SELECT  id,tenant_id,contact_user_name,contact_phone,company_name,license_number,address,domain,intro,remark,package_id,expire_time,account_count,status,del_flag,create_dept,create_by,create_time,update_by,update_time  FROM sys_tenant  WHERE del_flag='0'       ORDER BY id ASC
1754622037497|1|statement|connection 13|url jdbc:mysql://127.0.0.1:3306/course_ai?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT   user_name,status   FROM sys_user  WHERE del_flag='0'     AND (user_name = ?)|SELECT   user_name,status   FROM sys_user  WHERE del_flag='0'     AND (user_name = 'xs001')
